Title,DOI,Cites,Number of Pages,Publication Date,Language,Pages,Published In,Main Subject,Instance Of
A multilevel review of artificial intelligence in organizations: Implications for organizational behavior research and practice,10.1002/JOB.2735,N/A,N/A,2023-08-02T00:00:00Z,N/A,159-182,http://www.wikidata.org/entity/Q1709866,N/A,N/A
A systematic review of the applications of artificial intelligence and machine learning in autoimmune diseases,10.1038/S41746-020-0229-3,http://www.wikidata.org/entity/Q47173123,N/A,2020-03-09T00:00:00Z,N/A,30,http://www.wikidata.org/entity/Q73908508,http://www.wikidata.org/entity/Q2539,N/A
Exploring the impact of artificial intelligence on teaching and learning in higher education,10.1186/S41039-017-0062-8,http://www.wikidata.org/entity/Q36268624,N/A,2017-11-23T00:00:00Z,N/A,22,http://www.wikidata.org/entity/Q15754063,http://www.wikidata.org/entity/Q11660,N/A
Deep Learning: Methods and Applications,10.1561/2000000039,N/A,N/A,2014-01-01T00:00:00Z,N/A,197-387,http://www.wikidata.org/entity/Q15763119,http://www.wikidata.org/entity/Q197536,N/A
Deep learning,10.1038/NATURE14539,http://www.wikidata.org/entity/Q55871746,N/A,2015-05-28T00:00:00Z,http://www.wikidata.org/entity/Q1860,436–444,http://www.wikidata.org/entity/Q180445,http://www.wikidata.org/entity/Q197536,N/A
Surrogate techniques for testing fraud detection algorithms in credit card operations,10.1109/CCST.2014.6986987,N/A,N/A,2014-10-01T00:00:00Z,N/A,N/A,N/A,N/A,N/A
use of data mining of to create of a fraud prevention and detection system in credit card,10.53730/IJHS.V6NS5.10371,N/A,N/A,2022-07-05T00:00:00Z,N/A,6308-6315,http://www.wikidata.org/entity/Q96712878,http://www.wikidata.org/entity/Q172491,N/A
WIT: Wikipedia-based Image Text Dataset for Multimodal Multilingual Machine Learning,10.1145/3404835.3463257,N/A,N/A,2021-03-03T00:00:00Z,http://www.wikidata.org/entity/Q1860,N/A,N/A,http://www.wikidata.org/entity/Q2539,N/A
Analysis and prediction for credit card fraud detection dataset using data mining approaches,10.53730/IJHS.V6NS5.9534,N/A,N/A,2022-06-23T00:00:00Z,N/A,4155-4173,http://www.wikidata.org/entity/Q96712878,http://www.wikidata.org/entity/Q83873,N/A
Credit Card Fraud Detection Using Random Forest Classification,10.22214/IJRASET.2023.53990,N/A,N/A,2023-06-30T00:00:00Z,N/A,2383-2390,http://www.wikidata.org/entity/Q96710230,http://www.wikidata.org/entity/Q83873,N/A
A deep learning-based quality assessment model of collaboratively edited documents: A case study of Wikipedia,10.1177/0165551519877646,N/A,N/A,2019-10-01T00:00:00Z,N/A,176-191,http://www.wikidata.org/entity/Q152047,N/A,N/A
Deep learning in neural networks: an overview,10.1016/J.NEUNET.2014.09.003,http://www.wikidata.org/entity/Q29398287,33,2014-10-13T00:00:00Z,http://www.wikidata.org/entity/Q1860,85-117,http://www.wikidata.org/entity/Q15708873,http://www.wikidata.org/entity/Q197536,N/A
Linking ImageNet WordNet Synsets with Wikidata,10.1145/3184558.3191645,http://www.wikidata.org/entity/Q36655252,6,2018-04-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,1809-1814,http://www.wikidata.org/entity/Q51885042,http://www.wikidata.org/entity/Q24901201,N/A
Credit Card Fraud Detection using Logistic Regression Compared with t-SNE to Improve Accuracy,10.55248/GENGPI.2022.3.8.37,N/A,N/A,2022-08-17T00:00:00Z,N/A,1000-1004,N/A,http://www.wikidata.org/entity/Q83873,N/A
An Efficient Deep Learning Classification Model for Predicting Credit Card Fraud on Skewed Data,10.26735/TLYG7256,N/A,N/A,2022-06-30T00:00:00Z,N/A,57-71,http://www.wikidata.org/entity/Q96715947,http://www.wikidata.org/entity/Q83873,N/A
"Artificial intelligence, machine learning, computer-aided diagnosis, and radiomics: advances in imaging towards to precision medicine",10.1590/0100-3984.2019.0049,http://www.wikidata.org/entity/Q37615306,N/A,2019-11-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,387-396,http://www.wikidata.org/entity/Q26842548,http://www.wikidata.org/entity/Q2539,N/A
A widespread Survey on Machine Learning Techniques and User Substantiation Methods for Credit Card Fraud Detection,10.1504/IJBIDM.2023.10047750,N/A,N/A,2023-01-01T00:00:00Z,N/A,1,http://www.wikidata.org/entity/Q15752768,http://www.wikidata.org/entity/Q83873,N/A
The role of artificial intelligence in achieving the Sustainable Development Goals,10.1038/S41467-019-14108-Y,http://www.wikidata.org/entity/Q105875591,10,2020-01-13T00:00:00Z,http://www.wikidata.org/entity/Q1860,233,http://www.wikidata.org/entity/Q573880,http://www.wikidata.org/entity/Q131201,N/A
Credit Card Fraud Detection using Python &amp; Machine Learning Algorithms,10.22214/IJRASET.2023.52242,N/A,N/A,2023-05-31T00:00:00Z,N/A,3120-3128,http://www.wikidata.org/entity/Q96710230,http://www.wikidata.org/entity/Q83873,N/A
Artificial intelligence and deep learning in ophthalmology,10.1136/BJOPHTHALMOL-2018-313173,http://www.wikidata.org/entity/Q53872479,N/A,2019-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,167-175,http://www.wikidata.org/entity/Q13443571,http://www.wikidata.org/entity/Q2539,N/A
