DOI,Name,Institution
10.1002/JOB.2735,Sarah Bankins,Macquarie University
10.1002/JOB.2735,Anna Carmella Ocampo,Universitat Ramon Llull
10.1002/JOB.2735,Mauricio Marrone,Macquarie University
10.1002/JOB.2735,Simon Lloyd D. Restubog,University of Illinois Urbana-Champaign
10.1002/JOB.2735,Simon Lloyd D. Restubog,University of Queensland
10.1002/JOB.2735,Sang Eun Woo,Purdue University West Lafayette
10.1002/JOB.2735,Benjamin D. Levine,The University of Texas Southwestern Medical Center
10.1002/JOB.2735,Aurore Schmitt,Universidade de São Paulo
10.1002/JOB.2735,Aurore Schmitt,LMU Klinikum
10.1002/JOB.2735,Aurore Schmitt,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Isabel Maurus,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Isabel Maurus,LMU Klinikum
10.1002/JOB.2735,Moritz J. Rossner,LMU Klinikum
10.1002/JOB.2735,Moritz J. Rossner,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Astrid Röh,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Astrid Röh,LMU Klinikum
10.1002/JOB.2735,Moritz Lembeck,LMU Klinikum
10.1002/JOB.2735,Moritz Lembeck,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Martina von Wilmsdorff,Heinrich Heine University Düsseldorf
10.1002/JOB.2735,Shun Takahashi,LMU Klinikum
10.1002/JOB.2735,Shun Takahashi,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Shun Takahashi,Wakayama Medical University
10.1002/JOB.2735,Boris‐Stephan Rauchmann,LMU Klinikum
10.1002/JOB.2735,Boris‐Stephan Rauchmann,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Daniel Keeser,LMU Klinikum
10.1002/JOB.2735,Daniel Keeser,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Alkomiet Hasan,LMU Klinikum
10.1002/JOB.2735,Alkomiet Hasan,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Berend Malchow,Jena University Hospital
10.1002/JOB.2735,Peter Falkai,Ludwig-Maximilians-Universität München
10.1002/JOB.2735,Peter Falkai,LMU Klinikum
10.1002/JOB.2735,Shaoli Yao,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Yao Zhou,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Li Xu,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Qi Zhang,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Shimin Bao,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Huijie Feng,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Weihong Ge,Tibet Autonomous Region People's Hospital
10.1002/JOB.2735,Patricia W. Cox,Educational Testing Service
10.1002/JOB.2735,Herman A. Witkin,Educational Testing Service
10.1002/JOB.2735,Mathew J. Reeves,Michigan State University
10.1002/JOB.2735,Seana Gall,University of Tasmania
10.1002/JOB.2735,Ami P. Raval,University of Miami
10.1002/JOB.2735,Sean Bale,Cardiff University
10.1002/JOB.2735,Tiago Marcos Alves,Cardiff University
10.1002/JOB.2735,Gregory F. Moore,University of Hawaii System
10.1002/JOB.2735,Alanna Donnellan,University of Limerick
10.1002/JOB.2735,Daragh Bradshaw,University of Limerick
10.1002/JOB.2735,Jennifer McMahon,University of Limerick
10.1002/JOB.2735,Nubia Hernández-Flórez,Corporación Universitaria del Caribe
10.1002/JOB.2735,Nubia Hernández-Flórez,Corporación Universitaria del Caribe
10.1002/JOB.2735,Francia Moncada-Navas,Corporación Universitaria del Caribe
10.1002/JOB.2735,Yildret del Carmen Rodríguez Ávila,Corporación Universitaria del Caribe
10.1002/JOB.2735,Jorge Luis Barboza,Corporación Universitaria del Caribe
10.1002/JOB.2735,H. Zacharias,Essen University Hospital
10.1002/JOB.2735,Hans-Joachim Knackmuß,Stuttgart Observatory
10.1561/2000000039,Diego M.R. Tudesco,Universidade Federal Fluminense
10.1561/2000000039,Asif Ali Laghari,Sindh Madressatul Islam University
10.1561/2000000039,Abdullah A. Khan,Shaheed Benazir Bhutto University
10.1561/2000000039,Ricardo Tadeu Lopes,Universidade Federal do Rio de Janeiro
10.1561/2000000039,R. Jenice Aroma,Karunya University
10.1561/2000000039,Kumudha Raimond,Karunya University
10.1561/2000000039,Lin Teng,Shenyang Normal University
10.1561/2000000039,Asiya Khan,University of Plymouth
10.1038/NATURE14539,Vincent Noblet,"Laboratoire des Sciences de l'Ingénieur, de l'Informatique et de l'Imagerie"
10.1038/NATURE14539,Alex Lallement,"Laboratoire des Sciences de l'Ingénieur, de l'Informatique et de l'Imagerie"
10.1038/NATURE14539,Zhenwei Shi,Beihang University
10.1038/NATURE14539,Weikang Gong,Wellcome Centre for Integrative Neuroimaging
10.1038/NATURE14539,Weikang Gong,University of Oxford
10.1038/NATURE14539,Christian F. Beckmann,Radboud University Nijmegen
10.1038/NATURE14539,Christian F. Beckmann,Wellcome Centre for Integrative Neuroimaging
10.1038/NATURE14539,Christian F. Beckmann,University of Oxford
10.1038/NATURE14539,Andrea Vedaldi,Oxford Research Group
10.1038/NATURE14539,Andrea Vedaldi,University of Oxford
10.1038/NATURE14539,Stephen M. Smith,Wellcome Centre for Integrative Neuroimaging
10.1038/NATURE14539,Stephen M. Smith,University of Oxford
10.1038/NATURE14539,Peng Han,Oxford Research Group
10.1038/NATURE14539,Peng Han,University of Oxford
10.1038/NATURE14539,Peng Han,Radboud University Nijmegen
10.1038/NATURE14539,Peng Han,Wellcome Centre for Integrative Neuroimaging
10.1038/NATURE14539,Simone Bianco,Bay Institute
10.1038/NATURE14539,Filipe Aires,Observatoire de Paris
10.1038/NATURE14539,Filipe Aires,French National Centre for Scientific Research
10.1038/NATURE14539,Eulalie Boucher,Observatoire de Paris
10.1038/NATURE14539,Eulalie Boucher,French National Centre for Scientific Research
10.1038/NATURE14539,Victor Pellet,Observatoire de Paris
10.1038/NATURE14539,Victor Pellet,French National Centre for Scientific Research
10.1038/NATURE14539,Luntian Mou,Beijing University of Technology
10.1038/NATURE14539,Shasha Mao,Xidian University
10.1038/NATURE14539,Hualong Xie,Beijing University of Technology
10.1038/NATURE14539,Yanyan Chen,Beijing University of Technology
10.1038/NATURE14539,Shufan Liang,Sichuan University
10.1038/NATURE14539,Gang Wang,Sichuan University
10.1038/NATURE14539,Jun Shao,Sichuan University
10.1038/NATURE14539,Jingwei Li,Sichuan University
10.1038/NATURE14539,Hui Deng,Sichuan University
10.1038/NATURE14539,Chengdi Wang,Sichuan University
10.1038/NATURE14539,Weimin Liu,Sichuan University
10.1038/NATURE14539,Kumar Vijay Mishra,DEVCOM Army Research Laboratory
10.1038/NATURE14539,Kumar Vijay Mishra,United States Army Combat Capabilities Development Command
10.1038/NATURE14539,Ahmet M. Elbir,University of Luxembourg
10.1038/NATURE14539,Koichi Ichige,Yokohama National University
10.1038/NATURE14539,Mohammad Mohammadzadeh,Iowa State University
10.1038/NATURE14539,Pallavi Dubey,Iowa State University
10.1038/NATURE14539,Elif Elçin Günay,Sakarya University
10.1038/NATURE14539,John Jackman,Iowa State University
10.1038/NATURE14539,Gül E. Kremer,University of Dayton
10.1038/NATURE14539,Paul A. Kremer,Iowa State University
10.1038/NATURE14539,Nikolaj Dahmen,ETH Zurich
10.1038/NATURE14539,John Clinton,ETH Zurich
10.1038/NATURE14539,Men‐Andrin Meier,ETH Zurich
10.1038/NATURE14539,Simon C. Stähler,ETH Zurich
10.1038/NATURE14539,Doyeon Kim,ETH Zurich
10.1038/NATURE14539,Alexander Stott,Institut Superieur de l'Aeronautique et de l'Espace (ISAE-SUPAERO)
10.1038/NATURE14539,Domenico Giardini,ETH Zurich
