Title,DOI,Cites,Number of Pages,Publication Date,Language,Pages,Published In,Main Subject,Instance Of
Surrogate techniques for testing fraud detection algorithms in credit card operations,10.1109/CCST.2014.6986987,N/A,N/A,2014-10-01T00:00:00Z,N/A,N/A,N/A,N/A,N/A
use of data mining of to create of a fraud prevention and detection system in credit card,10.53730/IJHS.V6NS5.10371,N/A,N/A,2022-07-05T00:00:00Z,N/A,6308-6315,http://www.wikidata.org/entity/Q96712878,http://www.wikidata.org/entity/Q172491,N/A
Analysis and prediction for credit card fraud detection dataset using data mining approaches,10.53730/IJHS.V6NS5.9534,N/A,N/A,2022-06-23T00:00:00Z,N/A,4155-4173,http://www.wikidata.org/entity/Q96712878,http://www.wikidata.org/entity/Q83873,N/A
Credit Card Fraud Detection Using Random Forest Classification,10.22214/IJRASET.2023.53990,N/A,N/A,2023-06-30T00:00:00Z,N/A,2383-2390,http://www.wikidata.org/entity/Q96710230,http://www.wikidata.org/entity/Q83873,N/A
Credit Card Fraud Detection using Logistic Regression Compared with t-SNE to Improve Accuracy,10.55248/GENGPI.2022.3.8.37,N/A,N/A,2022-08-17T00:00:00Z,N/A,1000-1004,N/A,http://www.wikidata.org/entity/Q83873,N/A
An Efficient Deep Learning Classification Model for Predicting Credit Card Fraud on Skewed Data,10.26735/TLYG7256,N/A,N/A,2022-06-30T00:00:00Z,N/A,57-71,http://www.wikidata.org/entity/Q96715947,http://www.wikidata.org/entity/Q83873,N/A
A widespread Survey on Machine Learning Techniques and User Substantiation Methods for Credit Card Fraud Detection,10.1504/IJBIDM.2023.10047750,N/A,N/A,2023-01-01T00:00:00Z,N/A,1,http://www.wikidata.org/entity/Q15752768,http://www.wikidata.org/entity/Q83873,N/A
Credit Card Fraud Detection using Python &amp; Machine Learning Algorithms,10.22214/IJRASET.2023.52242,N/A,N/A,2023-05-31T00:00:00Z,N/A,3120-3128,http://www.wikidata.org/entity/Q96710230,http://www.wikidata.org/entity/Q83873,N/A
Credit Card Fraud Detection Using Machine Learning and Blockchain,10.22214/IJRASET.2023.52214,N/A,N/A,2023-05-31T00:00:00Z,N/A,2745-2751,http://www.wikidata.org/entity/Q96710230,http://www.wikidata.org/entity/Q83873,N/A
Credit Card Fraud Detection Using Machine Learning &amp; Python,10.56726/IRJMETS42136,N/A,N/A,2023-06-16T00:00:00Z,N/A,N/A,N/A,http://www.wikidata.org/entity/Q83873,N/A
